item_id,language,diff,candidate_message,correctness(0/1/2),notes
H002,cpp,"--- a/xbmc/network/AirPlayServer.cpp
+++ b/xbmc/network/AirPlayServer.cpp
int CAirPlayServer::CTCPClient::ProcessRequest (CStdString & responseHeader,
CStdString authorization = m_httpParser - > getValue ("" authorization "");
int status = AIRPLAY_STATUS_OK;
bool needAuth = false;
+
+ if (m_sessionId.IsEmpty ())
+ m_sessionId = "" 00000000 - 0000 - 0000 - 0000 - 000000000000 "";
if (ServerInstance - > m_usePassword & & ! m_bAuthenticated)
{",[ airplay ] - handle empty session ids from itunes,1,"빈 session ID에 기본값을 설정하는 변경은 맞지만, iTunes에서 비롯된다는 주장은 diff에서 확인되지 않는다."
H008,cpp,"--- a/lib/ParseSIL/ParseSIL.cpp
+++ b/lib/ParseSIL/ParseSIL.cpp
namespace {
bool parseScopeRef (SILDebugScope * & DS);
bool parseSILDebugLocation (SILLocation & L, SILBuilder & B,
bool parsedComma = false);
+ bool parseSpecificSILInstruction (SILBuilder & B, SILInstructionKind Opcode,
+ SourceLoc OpcodeLoc, StringRef OpcodeName,
+ SILInstruction * & ResultVal);
+
bool parseSILInstruction (SILBuilder & B);
bool parseCallInstruction (SILLocation InstLoc,
SILInstructionKind Opcode, SILBuilder & B,
SILParser::parseKeyPathPatternComponent (KeyPathPatternComponent & component,
}
}
- ///sil - instruction - result::= sil - value - name ' = '
- ///sil - instruction - result::= ' (' sil - value - name ? ') '
- ///sil - instruction - result::= ' (' sil - value - name (', ' sil - value - name) * ') '
- ///sil - instruction - source - info::= (', ' sil - scope - ref) ? (', ' sil - loc) ?
- ///sil - instruction - def::=
- ///(sil - instruction - result ' = ') ? sil - instruction sil - instruction - source - info
- bool SILParser::parseSILInstruction (SILBuilder & B) {
- // We require SIL instructions to be at the start of a line to assist
- // recovery .
- if (! P.Tok.isAtStartOfLine ()) {
- P.diagnose (P.Tok, diag::expected_sil_instr_start_of_line);
- return true;
- }
-
- SmallVector < Located < StringRef >, 4 > resultNames;
- SourceLoc resultClauseBegin;
-
- // If the instruction has a name ' % foo = ', parse it .
- if (P.Tok.is (tok::sil_local_name)) {
- resultClauseBegin = P.Tok.getLoc ();
- resultNames.push_back ({P.Tok.getText (), P.Tok.getLoc ()});
- P.consumeToken (tok::sil_local_name);
-
- // If the instruction has a ' (% foo, % bar) = ', parse it .
- } else if (P.consumeIf (tok::l_paren)) {
- resultClauseBegin = P.PreviousLoc;
-
- if (! P.consumeIf (tok::r_paren)) {
- while (true) {
- if (! P.Tok.is (tok::sil_local_name)) {
- P.diagnose (P.Tok, diag::expected_sil_value_name);
- return true;
- }
-
- resultNames.push_back ({P.Tok.getText (), P.Tok.getLoc ()});
- P.consumeToken (tok::sil_local_name);
-
- if (P.consumeIf (tok::comma))
- continue;
- if (P.consumeIf (tok::r_paren))
- break;
-
- P.diagnose (P.Tok, diag::expected_tok_in_sil_instr, "", "");
- return true;
- }
- }
- }
-
- if (resultClauseBegin.isValid ()) {
- if (P.parseToken (tok::equal, diag::expected_equal_in_sil_instr))
- return true;
- }
-
- SILInstructionKind Opcode;
- SourceLoc OpcodeLoc;
- StringRef OpcodeName;
-
- // Parse the opcode name .
- if (parseSILOpcode (Opcode, OpcodeLoc, OpcodeName))
- return true;
-
+ bool SILParser::parseSpecificSILInstruction (SILBuilder & B,
+ SILInstructionKind Opcode,
+ SourceLoc OpcodeLoc,
+ StringRef OpcodeName,
+ SILInstruction * & ResultVal) {
SmallVector < SILValue, 4 > OpList;
SILValue Val;
SILType Ty;
bool SILParser::parseSILInstruction (SILBuilder & B) {
CanType SourceType, TargetType;
SILValue SourceAddr, DestAddr;
auto parseSourceAndDestAddress = [&] {
- return parseFormalTypeAndValue (SourceType, SourceAddr)
- | | parseVerbatim ("" to "")
- | | parseFormalTypeAndValue (TargetType, DestAddr);
+ return parseFormalTypeAndValue (SourceType, SourceAddr) | |
+ parseVerbatim ("" to "") | | parseFormalTypeAndValue (TargetType, DestAddr);
};
Identifier SuccessBBName, FailureBBName;
SourceLoc SuccessBBLoc, FailureBBLoc;
auto parseConditionalBranchDestinations = [&] {
- return P.parseToken (tok::comma, diag::expected_tok_in_sil_instr, "", "")
- | | parseSILIdentifier (SuccessBBName, SuccessBBLoc,
- diag::expected_sil_block_name)
- | | P.parseToken (tok::comma, diag::expected_tok_in_sil_instr, "", "")
- | | parseSILIdentifier (FailureBBName, FailureBBLoc,
- diag::expected_sil_block_name)
- | | parseSILDebugLocation (InstLoc, B);
+ return P.parseToken (tok::comma, diag::expected_tok_in_sil_instr, "", "") | |
+ parseSILIdentifier (SuccessBBName, SuccessBBLoc,
+ diag::expected_sil_block_name) | |
+ P.parseToken (tok::comma, diag::expected_tok_in_sil_instr, "", "") | |
+ parseSILIdentifier (FailureBBName, FailureBBLoc,
+ diag::expected_sil_block_name) | |
+ parseSILDebugLocation (InstLoc, B);
};
//Validate the opcode name, and do opcode - specific parsing logic based on the
//opcode we find .
- SILInstruction * ResultVal;
+
switch (Opcode) {
case SILInstructionKind::AllocBoxInst: {
bool hasDynamicLifetime = false;
bool SILParser::parseSILInstruction (SILBuilder & B) {
return true;
SILType Ty;
- if (parseSILType (Ty)) return true;
+ if (parseSILType (Ty))
+ return true;
SILDebugVariable VarInfo;
if (parseSILDebugVar (VarInfo))
return true;
bool SILParser::parseSILInstruction (SILBuilder & B) {
case SILInstructionKind::AbortApplyInst :
case SILInstructionKind::EndApplyInst: {
UnresolvedValueName argName;
- if (parseValueName (argName)) return true;
+ if (parseValueName (argName))
+ return true;
if (parseSILDebugLocation (InstLoc, B))
return true;
bool SILParser::parseSILInstruction (SILBuilder & B) {
if (parseSILType (Ty) | |
P.parseToken (tok::comma, diag::expected_tok_in_sil_instr, "", ""))
return true;
-
+
bool Negative = false;
if (P.Tok.isAnyOperator () & & P.Tok.getText () = = "" - "") {
Negative = true;
bool SILParser::parseSILInstruction (SILBuilder & B) {
P.diagnose (P.Tok, diag::expected_tok_in_sil_instr, "" integer "");
return true;
}
-
+
auto intTy = Ty.getAs < AnyBuiltinIntegerType > ();
if (! intTy) {
P.diagnose (P.Tok, diag::sil_integer_literal_not_integer_type);
bool SILParser::parseSILInstruction (SILBuilder & B) {
if (parseSILType (Ty) | |
P.parseToken (tok::comma, diag::expected_tok_in_sil_instr, "", ""))
return true;
-
+
//The value is expressed as bits .
if (P.Tok.getKind () ! = tok::integer_literal) {
P.diagnose (P.Tok, diag::expected_tok_in_sil_instr, "" integer "");
return true;
}
-
+
auto floatTy = Ty.getAs < BuiltinFloatType > ();
if (! floatTy) {
P.diagnose (P.Tok, diag::sil_float_literal_not_float_type);
bool SILParser::parseSILInstruction (SILBuilder & B) {
}
StringRef text = prepareIntegerLiteralForParsing (P.Tok.getText ());
-
+
APInt bits (floatTy - > getBitWidth (), 0);
bool error = text.get","""Update SIL instruction parsing to support new opcode""",0,SIL 명령 파싱을 별도 함수로 추출·재구성하지만 새 opcode 지원 추가는 diff에서 확인되지 않는다.
H017,cpp,"--- a/src/video_core/textures/decoders.cpp
+++ b/src/video_core/textures/decoders.cpp
constexpr auto fast_swizzle_table = SwizzleTable < 8, 4, 16 > ();
* Instead of going gob by gob, we map the coordinates inside a block and manage from
* those.Block_Width is assumed to be 1 .
* /
- void Precise3DProcessBlock (u8 * swizzled_data, u8 * unswizzled_data, const bool unswizzle,
- const u32 x_start, const u32 y_start, const u32 z_start, const u32 x_end,
- const u32 y_end, const u32 z_end, const u32 tile_offset,
- const u32 xy_block_size, const u32 layer_z, const u32 stride_x,
- const u32 bytes_per_pixel, const u32 out_bytes_per_pixel) {
+ void PreciseProcessBlock (u8 * swizzled_data, u8 * unswizzled_data, const bool unswizzle,
+ const u32 x_start, const u32 y_start, const u32 z_start, const u32 x_end,
+ const u32 y_end, const u32 z_end, const u32 tile_offset,
+ const u32 xy_block_size, const u32 layer_z, const u32 stride_x,
+ const u32 bytes_per_pixel, const u32 out_bytes_per_pixel) {
std::array < u8 *, 2 > data_ptrs;
u32 z_address = tile_offset;
const u32 gob_size_x = 64;
void Precise3DProcessBlock (u8 * swizzled_data, u8 * unswizzled_data, const bool un
}
}
- /* *
- * This function unswizzles or swizzles a texture by mapping Linear to BlockLinear Textue .
- * The body of this function takes care of splitting the swizzled texture into blocks,
- * and managing the extents of it.Once all the parameters of a single block are obtained,
- * the function calls ' 3DProcessBlock ' to process that particular Block .
- *
- * Documentation for the memory layout and decoding can be found at :
- * https :// envytools.readthedocs.io/en/latest/hw/memory/g80 - surface.html # blocklinear - surfaces
- * /
- void Precise3DSwizzledData (u8 * swizzled_data, u8 * unswizzled_data, const bool unswizzle,
- const u32 width, const u32 height, const u32 depth,
- const u32 bytes_per_pixel, const u32 out_bytes_per_pixel,
- const u32 block_height, const u32 block_depth) {
- auto div_ceil = [] (const u32 x, const u32 y) {return ((x + y - 1)/y);};
- const u32 stride_x = width * out_bytes_per_pixel;
- const u32 layer_z = height * stride_x;
- const u32 gob_x_bytes = 64;
- const u32 gob_elements_x = gob_x_bytes/bytes_per_pixel;
- const u32 gob_elements_y = 8;
- const u32 gob_elements_z = 1;
- const u32 block_x_elements = gob_elements_x;
- const u32 block_y_elements = gob_elements_y * block_height;
- const u32 block_z_elements = gob_elements_z * block_depth;
- const u32 blocks_on_x = div_ceil (width, block_x_elements);
- const u32 blocks_on_y = div_ceil (height, block_y_elements);
- const u32 blocks_on_z = div_ceil (depth, block_z_elements);
- const u32 blocks = blocks_on_x * blocks_on_y * blocks_on_z;
- const u32 gob_size = gob_x_bytes * gob_elements_y * gob_elements_z;
- const u32 xy_block_size = gob_size * block_height;
- const u32 block_size = xy_block_size * block_depth;
- u32 tile_offset = 0;
- for (u32 zb = 0; zb < blocks_on_z; zb + +) {
- const u32 z_start = zb * block_z_elements;
- const u32 z_end = std::min (depth, z_start + block_z_elements);
- for (u32 yb = 0; yb < blocks_on_y; yb + +) {
- const u32 y_start = yb * block_y_elements;
- const u32 y_end = std::min (height, y_start + block_y_elements);
- for (u32 xb = 0; xb < blocks_on_x; xb + +) {
- const u32 x_start = xb * block_x_elements;
- const u32 x_end = std::min (width, x_start + block_x_elements);
- Precise3DProcessBlock (swizzled_data, unswizzled_data, unswizzle, x_start, y_start,
- z_start, x_end, y_end, z_end, tile_offset, xy_block_size,
- layer_z, stride_x, bytes_per_pixel, out_bytes_per_pixel);
- tile_offset + = block_size;
- }
- }
- }
- }
-
/ * *
* This function manages ALL the GOBs (Group of Bytes) Inside a single block .
* Instead of going gob by gob, we map the coordinates inside a block and manage from
* those.Block_Width is assumed to be 1 .
* /
- void Fast3DProcessBlock (u8 * swizzled_data, u8 * unswizzled_data, const bool unswizzle,
- const u32 x_start, const u32 y_start, const u32 z_start, const u32 x_end,
- const u32 y_end, const u32 z_end, const u32 tile_offset,
- const u32 xy_block_size, const u32 layer_z, const u32 stride_x,
- const u32 bytes_per_pixel, const u32 out_bytes_per_pixel) {
+ void FastProcessBlock (u8 * swizzled_data, u8 * unswizzled_data, const bool unswizzle,
+ const u32 x_start, const u32 y_start, const u32 z_start, const u32 x_end,
+ const u32 y_end, const u32 z_end, const u32 tile_offset,
+ const u32 xy_block_size, const u32 layer_z, const u32 stride_x,
+ const u32 bytes_per_pixel, const u32 out_bytes_per_pixel) {
std::array < u8 *, 2 > data_ptrs;
u32 z_address = tile_offset;
const u32 x_startb = x_start * bytes_per_pixel;
void Fast3DProcessBlock (u8 * swizzled_data, u8 * unswizzled_data, const bool unswi
* This function unswizzles or swizzles a texture by mapping Linear to BlockLinear Textue .
* The body of this function takes care of splitting the swizzled texture into blocks,
* and managing the extents of it.Once all the parameters of a single block are obtained,
- * the function calls ' 3DProcessBlock ' to process that particular Block .
+ * the function calls ' ProcessBlock ' to process that particular Block .
*
* Documentation for the memory layout and decoding can be found at :
* https :// envytools.readthedocs.io/en/latest/hw/memory/g80 - surface.html # blocklinear - surfaces
* /
- void Fast3DSwizzledData (u8 * swizzled_data, u8 * unswizzled_data, const bool unswizzle,
- const u32 width, const u32 height, const u32 depth,
- const u32 bytes_per_pixel, const u32 out_bytes_per_pixel,
- const u32 block_height, const u32 block_depth) {
+ template < bool fast >
+ void SwizzledData (u8 * swizzled_data, u8 * unswizzled_data, const bool unswizzle, const u32 width,
+ const u32 height, const u32 depth, const u32 bytes_per_pixel,
+ const u32 out_bytes_per_pixel, const u32 block_height, const u32 block_depth) {
auto div_ceil = [] (const u32 x, const u32 y) {return ((x + y - 1)/y);};
const u32 stride_x = width * out_bytes_per_pixel;
","""Refactored Precise3DProcessBlock to FastProcessBlock""",0,"Precise3DProcessBlock은 PreciseProcessBlock으로, Fast3DProcessBlock은 FastProcessBlock으로 바뀌므로 제시한 source-target 관계가 틀리다."
H018,cpp,"--- a/Telegram/SourceFiles/dialogs/dialogs_inner_widget.cpp
+++ b/Telegram/SourceFiles/dialogs/dialogs_inner_widget.cpp
bool InnerWidget::updateReorderPinned (QPoint localPosition) {
const auto delta = [&] {
if (localPosition.y () < _visibleTop) {
return localPosition.y () - _visibleTop;
+ } else if (_openedFolder & & localPosition.y () > _visibleBottom) {
+ return localPosition.y () - _visibleBottom;
}
return 0;
} ();","""Update reorder pinned method in dialogs_inner_widget.cpp""",2,"updateReorderPinned에서 열린 폴더의 하단 경계 밖 드래그 delta 처리를 추가하며, 메시지는 수정 대상과 행위를 일반적으로 정확히 지칭한다."
H025,cs,"--- a/Emby.Server.Implementations/Networking/NetworkManager.cs
+++ b/Emby.Server.Implementations/Networking/NetworkManager.cs
private static IEnumerable < PhysicalAddress > GetMacAddressesInternal ()
= > NetworkInterface.GetAllNetworkInterfaces ()
. Where (i = > i.NetworkInterfaceType ! = NetworkInterfaceType.Loopback)
. Select (x = > x.GetPhysicalAddress ())
- . Where (x = > x ! = null & & x ! = PhysicalAddress.None);
+ . Where (x = > ! x.Equals (PhysicalAddress.None));
private void OnNetworkAvailabilityChanged (object sender, NetworkAvailabilityEventArgs e)
{",Update Emby . Server . Implementations / Networking / NetworkManager . cs,2,NetworkManager.cs의 MAC 주소 필터 조건을 수정한 것이므로 일반적인 파일 업데이트 설명은 직접 뒷받침되고 모순이 없다.
H038,cs,"--- a/src/OrleansRuntime/GrainTypeManager/SiloAssemblyLoader.cs
+++ b/src/OrleansRuntime/GrainTypeManager/SiloAssemblyLoader.cs
private static void LogGrainTypesFound (TraceLogger logger, Dictionary < string, Gr
if (! typeof (ISystemTarget).IsAssignableFrom (grainType.Type))
{
int grainClassTypeCode = CodeGeneration.GrainInterfaceData.GetGrainClassTypeCode (grainType.Type);
- sb.AppendFormat ("" Grain class {0} [{1} (0x {2})] from {3}.dll implementing interfaces: "",
+ sb.AppendFormat ("" Grain class {0}.{1} [{2} (0x {3})] from {4}.dll implementing interfaces: "",
+ grainType.Type.Namespace,
TypeUtils.GetTemplatedName (grainType.Type),
grainClassTypeCode,
grainClassTypeCode.ToString ("" X ""),","""Refactored GrainTypeManager SiloAssemblyLoader logging""",2,GrainTypeManager의 SiloAssemblyLoader 로깅 형식을 namespace 포함 형태로 리팩터링한다.
H042,go,"--- a/providers/vultr/vultrProvider.go
+++ b/providers/vultr/vultrProvider.go
@@ -7,6 +7,7 @@ import (
""fmt""
""strings""
+ ""golang.org/x/net/idna""
""golang.org/x/oauth2""
""github.com/StackExchange/dnscontrol/v3/models""
@@ -111,6 +112,20 @@ func (api *vultrProvider) GetZoneRecords(domain string) (models.Records, error)
func (api *vultrProvider) GetDomainCorrections(dc *models.DomainConfig) ([]*models.Correction, error) {
dc.Punycode()
+ for _, rec := range dc.Records {
+ switch rec.Type {// #rtype_variations
+ case ""ALIAS"", ""MX"", ""NS"", ""CNAME"", ""PTR"", ""SRV"", ""URL"", ""URL301"", ""FRAME"", ""R53_ALIAS"", ""NS1_URLFWD"", ""AKAMAICDN"", ""CLOUDNS_WR"":
+ // These rtypes are hostnames, therefore need to be converted (unlike, for example, an AAAA record)
+ t, err := idna.ToUnicode(rec.GetTargetField())
+ if err != nil {
+ return nil, err
+ }
+ rec.SetTarget(t)
+ default:
+ // Nothing to do.
+ }
+ }
+
curRecords, err := api.GetZoneRecords(dc.Name)
if err != nil {
return nil, err
@@ -119,10 +134,14 @@ func (api *vultrProvider) GetDomainCorrections(dc *models.DomainConfig) ([]*mode
models.PostProcessRecords(curRecords)
var corrections []*models.Correction
- if !diff2.EnableDiff2 || true {// Remove ""|| true"" when diff2 version arrives
-
+ var create, delete, modify diff.Changeset
+ if !diff2.EnableDiff2 {
differ := diff.New(dc)
- _, create, delete, modify, err := differ.IncrementalDiff(curRecords)
+ _, create, delete, modify, err = differ.IncrementalDiff(curRecords)
+ } else {
+ differ := diff.NewCompat(dc)
+ _, create, delete, modify, err = differ.IncrementalDiff(curRecords)
+ }
if err != nil {
return nil, err
}
@@ -161,11 +180,6 @@ func (api *vultrProvider) GetDomainCorrections(dc *models.DomainConfig) ([]*mode
return corrections, nil
}
- // Insert Future diff2 version here.
-
- return corrections, nil
- }
-
// GetNameservers gets the Vultr nameservers for a domain
func (api *vultrProvider) GetNameservers(domain string) ([]*models.Nameserver, error) {
return models.ToNameservers(defaultNS)
@@ -220,6 +234,16 @@ func toRecordConfig(domain string, r govultr.DomainRecord) (*models.RecordConfig
}
rc.SetLabel(r.Name, domain)
+ switch rtype := r.Type; rtype {
+ case ""ALIAS"", ""MX"", ""NS"", ""CNAME"", ""PTR"", ""SRV"", ""URL"", ""URL301"", ""FRAME"", ""R53_ALIAS"", ""NS1_URLFWD"", ""AKAMAICDN"", ""CLOUDNS_WR"":
+ var err error
+ data, err = idna.ToUnicode(data)
+ if err != nil {
+ return nil, err
+ }
+ default:
+ }
+
switch rtype := r.Type; rtype {
case ""CNAME"", ""NS"":
rc.Type = r.Type
@@ -289,6 +313,9 @@ func toVultrRecord(dc *models.DomainConfig, rc *models.RecordConfig, vultrID str
}
switch rtype := rc.Type; rtype {// #rtype_variations
case ""SRV"":
+ if data == """" {
+ data = "".""
+ }
r.Data = fmt.Sprintf(""%v %v %s"", rc.SrvWeight, rc.SrvPort, data)
case ""CAA"":
r.Data = fmt.Sprintf(`%v %s ""%s""`, rc.CaaFlag, rc.CaaTag, rc.GetTargetField())",VULTR: Adopt diff2 in compatibility mode and fix handling of some integrations tests,1,diff2 compatibility 분기 도입은 정확하지만 integration tests 처리 수정이라는 표현은 diff에서 직접 확인되지 않는다.
H043,go,"--- a/pkg/daemon/daemon_test.go
+++ b/pkg/daemon/daemon_test.go
@@ -128,38 +128,6 @@ func TestCompareOSImageURL(t *testing.T) {
}
}
- func TestDaemonOnceFromNoPanic(t *testing.T) {
- if _, err := os.Stat(""/proc/sys/kernel/random/boot_id""); os.IsNotExist(err) {
- t.Skip(""we're not on linux"")
- }
-
- exitCh := make(chan error)
- defer close(exitCh)
- stopCh := make(chan struct{})
- defer close(stopCh)
-
- // This is how a onceFrom daemon is initialized
- // and it shouldn't panic assuming kubeClient is there
- dn, err := New(
- ""/"",
- ""testnodename"",
- ""testos"",
- NewNodeUpdaterClient(),
- """",
- ""test"",
- false,
- nil,
- k8sfake.NewSimpleClientset(),
- false,
- """",
- nil,
- exitCh,
- stopCh,
- )
- require.Nil(t, err)
- require.NotPanics(t, func() {dn.triggerUpdateWithMachineConfig(&mcfgv1.MachineConfig{}, &mcfgv1.MachineConfig{})})
- }
-
type fixture struct {
t *testing.T","daemon: Remove dummy OnceFrom Test
Now that the daemon tries to talk to the systemd journal, this unit
test hangs in my dev environment.  We can't really support this
without mocking a lot more, and it's not really covering much
interesting right now.  Delete it.",2,TestDaemonOnceFromNoPanic 테스트 전체를 삭제하므로 핵심 변경은 정확하다.
H045,go,"--- a/cmd/machine-config-controller/start.go
+++ b/cmd/machine-config-controller/start.go
@@ -79,6 +79,7 @@ func runStartCmd(cmd *cobra.Command, args []string) {
}
func startControllers(ctx *common.ControllerContext) error {
+ // Our primary MCs come from here
go template.New(
rootOpts.templates,
ctx.InformerFactory.Machineconfiguration().V1().ControllerConfigs(),
@@ -87,6 +88,18 @@ func startControllers(ctx *common.ControllerContext) error {
ctx.ClientBuilder.MachineConfigClientOrDie(""template-controller""),
).Run(2, ctx.Stop)
+ // Add all ""sub-renderers here""
+ go kubeletconfig.New(
+ rootOpts.templates,
+ ctx.InformerFactory.Machineconfiguration().V1().MachineConfigPools(),
+ ctx.InformerFactory.Machineconfiguration().V1().ControllerConfigs(),
+ ctx.InformerFactory.Machineconfiguration().V1().KubeletConfigs(),
+ ctx.ClientBuilder.KubeClientOrDie(""kubelet-config-controller""),
+ ctx.ClientBuilder.MachineConfigClientOrDie(""kubelet-config-controller""),
+ ).Run(2, ctx.Stop)
+
+ // The renderer creates ""rendered"" MCs from the MC fragments generated by
+ // the above sub-controllers, which are then consumed by the node controller
go render.New(
ctx.InformerFactory.Machineconfiguration().V1().MachineConfigPools(),
ctx.InformerFactory.Machineconfiguration().V1().MachineConfigs(),
@@ -94,6 +107,7 @@ func startControllers(ctx *common.ControllerContext) error {
ctx.ClientBuilder.MachineConfigClientOrDie(""render-controller""),
).Run(2, ctx.Stop)
+ // The node controller consumes data written by the above
go node.New(
ctx.InformerFactory.Machineconfiguration().V1().MachineConfigPools(),
ctx.KubeInformerFactory.Core().V1().Nodes(),
@@ -101,14 +115,5 @@ func startControllers(ctx *common.ControllerContext) error {
ctx.ClientBuilder.MachineConfigClientOrDie(""node-update-controller""),
).Run(2, ctx.Stop)
- go kubeletconfig.New(
- rootOpts.templates,
- ctx.InformerFactory.Machineconfiguration().V1().MachineConfigPools(),
- ctx.InformerFactory.Machineconfiguration().V1().ControllerConfigs(),
- ctx.InformerFactory.Machineconfiguration().V1().KubeletConfigs(),
- ctx.ClientBuilder.KubeClientOrDie(""kubelet-config-controller""),
- ctx.ClientBuilder.MachineConfigClientOrDie(""kubelet-config-controller""),
- ).Run(2, ctx.Stop)
-
return nil
}","controller: Start sub-controllers in order of dependency
The render controller needs kubelet data, so start it first.
And add a bit of docs.",2,kubelet config controller를 render controller보다 먼저 시작하도록 이동하고 의존 순서 주석을 추가한다.
H050,go,"--- a/pkg/controller/template/render_test.go
+++ b/pkg/controller/template/render_test.go
@@ -31,9 +31,6 @@ func TestCloudProvider(t *testing.T) {
featureGate *configv1.FeatureGate
res string
}{{
- platform: configv1.AWSPlatformType,
- res: ""aws"",
- }, {
platform: configv1.AWSPlatformType,
featureGate: newFeatures(""cluster"", ""CustomNoUpgrade"", []string{cloudprovider.ExternalCloudProviderFeature}, nil),
res: ""external"",
@@ -48,11 +45,22 @@ func TestCloudProvider(t *testing.T) {
}, {
platform: configv1.GCPPlatformType,
featureGate: newFeatures(""cluster"", ""CustomNoUpgrade"", []string{cloudprovider.ExternalCloudProviderFeature}, nil),
- res: ""gce"",
+ res: ""external"",
+ }, {
+ platform: configv1.VSpherePlatformType,
+ featureGate: newFeatures(""cluster"", ""CustomNoUpgrade"", []string{cloudprovider.ExternalCloudProviderFeature}, nil),
+ res: ""external"",
+ }, {
+ platform: configv1.OpenStackPlatformType,
+ featureGate: newFeatures(""cluster"", ""CustomNoUpgrade"", []string{cloudprovider.ExternalCloudProviderFeature}, nil),
+ res: ""external"",
}, {
platform: configv1.OpenStackPlatformType,
featureGate: newFeatures(""cluster"", ""CustomNoUpgrade"", nil, []string{cloudprovider.ExternalCloudProviderFeature}),
res: ""openstack"",
+ }, {
+ platform: configv1.AWSPlatformType,
+ res: ""aws"",
}, {
platform: configv1.OpenStackPlatformType,
res: ""openstack"",
@@ -157,7 +165,15 @@ func TestCloudConfigFlag(t *testing.T) {
option = a
`,
featureGate: newFeatures(""cluster"", ""CustomNoUpgrade"", []string{cloudprovider.ExternalCloudProviderFeature}, nil),
- res: ""--cloud-config=/etc/kubernetes/cloud.conf"",
+ res: """",
+ }, {
+ platform: configv1.VSpherePlatformType,
+ content: `
+ [dummy-config]
+ option = a
+ `,
+ featureGate: newFeatures(""cluster"", ""CustomNoUpgrade"", []string{cloudprovider.ExternalCloudProviderFeature}, nil),
+ res: """",
}, {
platform: configv1.AzurePlatformType,
content: `","""Update cloud provider configuration for external cloud providers""",2,외부 cloud provider feature에 맞춰 cloud provider 및 cloud-config 기대 설정을 갱신하므로 메시지가 중심 변경을 포착한다.
