item_id,diff_id,language,source
H001,10103,cpp,gold
H002,17822,cpp,gold
H003,9952,cpp,gold
H004,17531,cpp,gold
H005,18742,cpp,gold
H006,20290,cpp,codellama
H007,3948,cpp,codellama
H008,13940,cpp,codellama
H009,13887,cpp,codellama
H010,19063,cpp,codellama
H011,9122,cpp,qwen
H012,19017,cpp,qwen
H013,1118,cpp,qwen
H014,22139,cpp,qwen
H015,3002,cpp,qwen
H016,5400,cpp,deepseek
H017,18767,cpp,deepseek
H018,8875,cpp,deepseek
H019,6385,cpp,deepseek
H020,8543,cpp,deepseek
H021,27998,cs,gold
H022,8735,cs,gold
H023,11254,cs,gold
H024,28797,cs,gold
H025,27481,cs,gold
H026,5384,cs,codellama
H027,27077,cs,codellama
H028,25992,cs,codellama
H029,9979,cs,codellama
H030,10213,cs,codellama
H031,8527,cs,qwen
H032,7328,cs,qwen
H033,16117,cs,qwen
H034,15062,cs,qwen
H035,27882,cs,qwen
H036,19565,cs,deepseek
H037,16961,cs,deepseek
H038,27709,cs,deepseek
H039,28141,cs,deepseek
H040,17340,cs,deepseek
H041,2148,go,gold
H042,221,go,gold
H043,2503,go,gold
H044,2890,go,gold
H045,2424,go,gold
H046,1275,go,codellama
H047,2971,go,codellama
H048,995,go,codellama
H049,1157,go,codellama
H050,2747,go,codellama
H051,906,go,qwen
H052,2254,go,qwen
H053,3008,go,qwen
H054,1938,go,qwen
H055,571,go,qwen
H056,2342,go,deepseek
H057,2286,go,deepseek
H058,2397,go,deepseek
H059,2913,go,deepseek
H060,1922,go,deepseek
H061,12961,java,gold
H062,945,java,gold
H063,492,java,gold
H064,10515,java,gold
H065,16278,java,gold
H066,17470,java,codellama
H067,19437,java,codellama
H068,3127,java,codellama
H069,17966,java,codellama
H070,3819,java,codellama
H071,12904,java,qwen
H072,4630,java,qwen
H073,7744,java,qwen
H074,1786,java,qwen
H075,159,java,qwen
H076,16189,java,deepseek
H077,6563,java,deepseek
H078,10421,java,deepseek
H079,6558,java,deepseek
H080,6241,java,deepseek
H081,3027,js,gold
H082,16433,js,gold
H083,16547,js,gold
H084,17949,js,gold
H085,33735,js,gold
H086,31702,js,codellama
H087,10097,js,codellama
H088,3155,js,codellama
H089,14039,js,codellama
H090,21676,js,codellama
H091,16590,js,qwen
H092,33232,js,qwen
H093,23968,js,qwen
H094,27293,js,qwen
H095,15130,js,qwen
H096,17678,js,deepseek
H097,10553,js,deepseek
H098,32133,js,deepseek
H099,4016,js,deepseek
H100,12989,js,deepseek
H101,2031,php,gold
H102,545,php,gold
H103,4699,php,gold
H104,1493,php,gold
H105,615,php,gold
H106,1625,php,codellama
H107,4457,php,codellama
H108,400,php,codellama
H109,4084,php,codellama
H110,3100,php,codellama
H111,3024,php,qwen
H112,355,php,qwen
H113,47,php,qwen
H114,4645,php,qwen
H115,1540,php,qwen
H116,383,php,deepseek
H117,2624,php,deepseek
H118,3126,php,deepseek
H119,3316,php,deepseek
H120,1335,php,deepseek
H121,7172,py,gold
H122,10889,py,gold
H123,2997,py,gold
H124,652,py,gold
H125,14666,py,gold
H126,14546,py,codellama
H127,17624,py,codellama
H128,6194,py,codellama
H129,15579,py,codellama
H130,6716,py,codellama
H131,1229,py,qwen
H132,15176,py,qwen
H133,4675,py,qwen
H134,5336,py,qwen
H135,3677,py,qwen
H136,8754,py,deepseek
H137,8029,py,deepseek
H138,1037,py,deepseek
H139,9098,py,deepseek
H140,7684,py,deepseek
H141,1671,rust,gold
H142,1869,rust,gold
H143,1919,rust,gold
H144,2462,rust,gold
H145,877,rust,gold
H146,944,rust,codellama
H147,913,rust,codellama
H148,390,rust,codellama
H149,279,rust,codellama
H150,3437,rust,codellama
H151,1236,rust,qwen
H152,2750,rust,qwen
H153,4745,rust,qwen
H154,3467,rust,qwen
H155,4376,rust,qwen
H156,2141,rust,deepseek
H157,118,rust,deepseek
H158,3203,rust,deepseek
H159,3261,rust,deepseek
H160,9,rust,deepseek
